,Region,Metric,Standardised Value
236,GBR_0.5,Degree Centrality,-0.5661557357124515
237,GBR_0.5,Degree Centrality,-0.22271897596710558
238,GBR_0.5,Degree Centrality,-0.5170933414631164
239,GBR_0.5,Degree Centrality,0.09618658665357276
240,GBR_0.5,Degree Centrality,-0.46803094721378125
241,GBR_0.5,Degree Centrality,-0.6888117213357893
242,GBR_0.5,Degree Centrality,-0.6152181299617866
243,GBR_0.5,Degree Centrality,-0.46803094721378125
244,GBR_0.5,Degree Centrality,-0.6397493270864542
245,GBR_0.5,Degree Centrality,-0.7133429184604568
246,GBR_0.5,Degree Centrality,-0.5661557357124515
247,GBR_0.5,Degree Centrality,-0.590686932837119
248,GBR_0.5,Degree Centrality,-0.5170933414631164
249,GBR_0.5,Degree Centrality,-0.6642805242111217
250,GBR_0.5,Degree Centrality,-0.32084376446577584
251,GBR_0.5,Degree Centrality,-0.6888117213357893
252,GBR_0.5,Degree Centrality,-0.6397493270864542
253,GBR_0.5,Degree Centrality,-0.4925621443384488
254,GBR_0.5,Degree Centrality,-0.2717813702164407
255,GBR_0.5,Degree Centrality,-0.590686932837119
256,GBR_0.5,Degree Centrality,-0.6397493270864542
257,GBR_0.5,Degree Centrality,-0.4925621443384488
258,GBR_0.5,Degree Centrality,-0.4925621443384488
259,GBR_0.5,Degree Centrality,-0.4189685529644461
260,GBR_0.5,Degree Centrality,-0.36990615871511096
261,GBR_0.5,Degree Centrality,-0.6888117213357893
262,GBR_0.5,Degree Centrality,-0.5416245385877839
263,GBR_0.5,Degree Centrality,-0.5170933414631164
264,GBR_0.5,Degree Centrality,-0.6642805242111217
265,GBR_0.5,Degree Centrality,-0.6888117213357893
266,GBR_0.5,Degree Centrality,-0.6397493270864542
267,GBR_0.5,Degree Centrality,-0.5416245385877839
268,GBR_0.5,Degree Centrality,-0.051000596094432596
269,GBR_0.5,Degree Centrality,-0.6888117213357893
270,GBR_0.5,Degree Centrality,-0.6888117213357893
271,GBR_0.5,Degree Centrality,-0.6642805242111217
272,GBR_0.5,Degree Centrality,-0.32084376446577584
273,GBR_0.5,Degree Centrality,-0.6642805242111217
274,GBR_0.5,Degree Centrality,-0.6397493270864542
275,GBR_0.5,Degree Centrality,-0.6397493270864542
276,GBR_0.5,Degree Centrality,-0.6888117213357893
277,GBR_0.5,Degree Centrality,-0.19818777884243802
278,GBR_0.5,Degree Centrality,-0.5170933414631164
279,GBR_0.5,Degree Centrality,-0.32084376446577584
280,GBR_0.5,Degree Centrality,-0.6888117213357893
281,GBR_0.5,Degree Centrality,-0.6642805242111217
282,GBR_0.5,Degree Centrality,-0.6888117213357893
283,GBR_0.5,Degree Centrality,-0.590686932837119
284,GBR_0.5,Degree Centrality,-0.07553179321910015
285,GBR_0.5,Degree Centrality,-0.6152181299617866
286,GBR_0.5,Degree Centrality,-0.44349975008911363
287,GBR_0.5,Degree Centrality,-0.6888117213357893
288,GBR_0.5,Degree Centrality,-0.6152181299617866
289,GBR_0.5,Degree Centrality,-0.6152181299617866
290,GBR_0.5,Degree Centrality,-0.6397493270864542
291,GBR_0.5,Degree Centrality,-0.6152181299617866
292,GBR_0.5,Degree Centrality,-0.6642805242111217
293,GBR_0.5,Degree Centrality,-0.6888117213357893
294,GBR_0.5,Degree Centrality,-0.590686932837119
295,GBR_0.5,Degree Centrality,-0.12459418746843527
296,GBR_0.5,Degree Centrality,-0.3944373558397785
297,GBR_0.5,Degree Centrality,-0.6397493270864542
298,GBR_0.5,Degree Centrality,-0.7378741155851244
299,GBR_0.5,Degree Centrality,-0.22271897596710558
300,GBR_0.5,Degree Centrality,-0.6397493270864542
301,GBR_0.5,Degree Centrality,-0.6152181299617866
302,GBR_0.5,Degree Centrality,-0.6152181299617866
303,GBR_0.5,Degree Centrality,-0.4189685529644461
