,Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency,Lon,Lat,geometry,Region
2932,122,1.8100558659217878,0.22779486535685148,0.988950276243094,0.0003951843825112522,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.7920761108398,-14.5524778366089,POINT (40.7920761108398 -14.5524778366089),IO
2933,123,1.8100558659217878,0.22779486535685148,0.988950276243094,0.0003951843825112522,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.6751899719238,-14.152045249939,POINT (40.6751899719238 -14.152045249939),IO
2934,124,1.8044692737430168,0.22779486535685148,0.988950276243094,0.0003841028047129032,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.5924110412598,-13.660737991333,POINT (40.5924110412598 -13.660737991333),IO
2935,125,1.8044692737430168,0.22779486535685148,0.988950276243094,0.0003841028047129032,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.5843467712402,-13.0807933807373,POINT (40.5843467712402 -13.0807933807373),IO
2936,126,1.8044692737430168,0.22779486535685148,0.988950276243094,0.0003841028047129032,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.6167221069336,-12.5467653274536,POINT (40.6167221069336 -12.5467653274536),IO
2937,127,1.8659217877094973,0.22779486535685148,0.988950276243094,0.0007077432333659925,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,41.4016227722168,-12.1955089569092,POINT (41.4016227722168 -12.1955089569092),IO
2938,128,1.8156424581005588,0.22779486535685148,0.988950276243094,0.0004079200533454961,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.5714797973633,-12.0993566513062,POINT (40.5714797973633 -12.0993566513062),IO
2939,129,1.8156424581005588,0.22779486535685148,0.988950276243094,0.0004079200533454961,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.5871887207031,-11.7296104431152,POINT (40.5871887207031 -11.7296104431152),IO
2940,130,1.8156424581005588,0.22779486535685148,0.988950276243094,0.0004079200533454961,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.5517578125,-11.3900604248047,POINT (40.5517578125 -11.3900604248047),IO
2941,131,1.8547486033519553,0.22779486535685148,0.988950276243094,0.0006274023838216254,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.6420440673828,-11.053035736084,POINT (40.6420440673828 -11.053035736084),IO
2942,132,1.8770949720670391,0.22779486535685148,0.988950276243094,0.0008580076309078159,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.5971870422363,-10.6831502914429,POINT (40.5971870422363 -10.6831502914429),IO
2943,133,1.8826815642458101,0.22779486535685148,0.988950276243094,0.0009328582847470818,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.3539161682129,-10.2843542098999,POINT (40.3539161682129 -10.2843542098999),IO
2944,134,1.8435754189944136,0.22779486535685148,0.9835164835164835,0.000572057726615253,0.08356679851641274,177.5,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,40.1761283874512,-10.1989526748657,POINT (40.1761283874512 -10.1989526748657),IO
2945,135,1.8212290502793296,0.22779486535685148,0.988950276243094,0.0004602164231440869,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.8887825012207,-10.0264263153076,POINT (39.8887825012207 -10.0264263153076),IO
2946,136,1.8715083798882681,0.22779486535685148,0.988950276243094,0.000854054789447127,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.7582321166992,-9.71188545227051,POINT (39.7582321166992 -9.71188545227051),IO
2947,137,1.8268156424581006,0.22779486535685148,0.988950276243094,0.00046218837228406473,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.6556510925293,-9.37960529327393,POINT (39.6556510925293 -9.37960529327393),IO
2948,138,1.8603351955307263,0.22779486535685148,0.988950276243094,0.0007256921805162385,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.5909957885742,-9.05581474304199,POINT (39.5909957885742 -9.05581474304199),IO
2949,139,1.9385474860335197,0.22779486535685148,0.988950276243094,0.0015535863402237893,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.5418853759766,-8.82572746276856,POINT (39.5418853759766 -8.82572746276856),IO
2950,140,1.9385474860335197,0.22779486535685148,0.988950276243094,0.0015535863402237893,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.4873313903809,-8.55892086029053,POINT (39.4873313903809 -8.55892086029053),IO
2951,141,1.9217877094972067,0.22779486535685148,0.988950276243094,0.001437261677901966,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.3827438354492,-8.34731674194336,POINT (39.3827438354492 -8.34731674194336),IO
2952,142,1.9329608938547487,0.22779486535685148,0.988950276243094,0.0015285713557338754,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.554759979248,-8.33635139465332,POINT (39.554759979248 -8.33635139465332),IO
2953,143,1.9329608938547487,0.22779486535685148,0.988950276243094,0.0015285713557338754,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.7322311401367,-8.01682186126709,POINT (39.7322311401367 -8.01682186126709),IO
