,Region,Metric,Standardised Value
182,GBR,Degree Centrality,-0.31806341296402085
183,GBR,Degree Centrality,-0.31988466139140864
184,GBR,Degree Centrality,-0.3189740371777147
185,GBR,Degree Centrality,-0.3125996676818576
186,GBR,Degree Centrality,-0.3125996676818576
187,GBR,Degree Centrality,-0.32261653403249024
188,GBR,Degree Centrality,-0.324437782459878
189,GBR,Degree Centrality,-0.32625903088726577
190,GBR,Degree Centrality,-0.31442091610924533
191,GBR,Degree Centrality,-0.31077841925446986
192,GBR,Degree Centrality,-0.32261653403249024
193,GBR,Degree Centrality,-0.3217059098187964
194,GBR,Degree Centrality,-0.3299015277420413
195,GBR,Degree Centrality,-0.3153315403229392
196,GBR,Degree Centrality,-0.32352715824618417
197,GBR,Degree Centrality,-0.32261653403249024
198,GBR,Degree Centrality,-0.32534840667357184
199,GBR,Degree Centrality,-0.31351029189555146
200,GBR,Degree Centrality,-0.32352715824618417
201,GBR,Degree Centrality,-0.32352715824618417
202,GBR,Degree Centrality,-0.32534840667357184
203,GBR,Degree Centrality,-0.3299015277420413
204,GBR,Degree Centrality,-0.324437782459878
205,GBR,Degree Centrality,-0.32625903088726577
206,GBR,Degree Centrality,-0.32625903088726577
207,GBR,Degree Centrality,-0.32079528560510245
208,GBR,Degree Centrality,-0.32261653403249024
209,GBR,Degree Centrality,-0.3153315403229392
210,GBR,Degree Centrality,-0.3162421645366331
211,GBR,Degree Centrality,-0.317152788750327
212,GBR,Degree Centrality,-0.3280802793146535
213,GBR,Degree Centrality,-0.32352715824618417
214,GBR,Degree Centrality,-0.324437782459878
215,GBR,Degree Centrality,-0.3271696551009596
216,GBR,Degree Centrality,-0.3162421645366331
217,GBR,Degree Centrality,-0.32261653403249024
218,GBR,Degree Centrality,-0.324437782459878
219,GBR,Degree Centrality,-0.317152788750327
220,GBR,Degree Centrality,-0.32079528560510245
221,GBR,Degree Centrality,-0.32261653403249024
222,GBR,Degree Centrality,-0.324437782459878
223,GBR,Degree Centrality,-0.3189740371777147
224,GBR,Degree Centrality,-0.3299015277420413
225,GBR,Degree Centrality,-0.3280802793146535
226,GBR,Degree Centrality,-0.32352715824618417
227,GBR,Degree Centrality,-0.3308121519557351
228,GBR,Degree Centrality,-0.3271696551009596
229,GBR,Degree Centrality,-0.32352715824618417
230,GBR,Degree Centrality,-0.3299015277420413
231,GBR,Degree Centrality,-0.3280802793146535
232,GBR,Degree Centrality,-0.3217059098187964
