Name,Lat,Lon
Assomption Island,-9.7256965637207,46.5133323669434
Cosmoledo Atoll,-9.71393489837647,47.5824203491211
Astove Island,-10.0787000656128,47.7388229370117
McLeod Bank,-9.97075271606445,50.3781852722168
Bulldog Bank,-10.0197677612305,50.7775001525879
Farquhar Atoll,-10.17893409729,51.0973129272461
Umzinto Bank SW,-9.78334999084473,51.2024993896484
Umzinto Bank NE,-9.70697021484375,51.3349990844727
Providence Atoll,-9.4032564163208,51.042552947998
Saint Pierre Island,-9.33714866638184,50.7300033569336
Wizard Reef,-8.80194282531738,51.0560035705566
St François Atoll ,-7.12040948867798,52.75
Alphonse Atoll,-7.02346229553223,52.7446098327637
Marie Louise and Desnoeufs Island,-6.2088623046875,53.1011123657227
Boudeuse Cay,-6.07961177825928,52.8511123657227
Etoile Cay,-6.01773691177368,53.0699996948242
Unnamed reef,-5.78896188735962,53.1100006103516
Poivre Atoll,-5.75911378860474,53.3099975585938
Desroches Atoll,-5.64766931533814,53.6511077880859
St Joseph Atoll and D'Arros Island,-5.4245285987854,53.3304748535156
Rémire Island,-5.10390186309815,53.3327255249023
African Banks,-4.89017534255981,53.3781852722168
Platte Island,-5.9122805595398,55.3307952880859
Coëtivy Island,-7.13322448730469,56.21875
Silhouette Island and Ile du Nord,-4.4680700302124,55.2362518310547
Mahé S,-4.77189683914185,55.5099983215332
Mahé W,-4.65372800827026,55.4049987792969
Mahé NE,-4.60768795013428,55.4895210266113
Recif Island,-4.58395671844482,55.7649955749512
Frégate Island,-4.58395671844482,55.939998626709
"La Digue, Félicité Island, Marianne, Grande Soeur, and Petite Soeur",-4.334716796875,55.8663597106934
"Praslin, Curieuse, Round Island, Cousin Island, and Cousine Island",-4.31954288482666,55.7356491088867
Aride Island,-4.21505260467529,55.6699981689453
Denis Island,-3.78895735740662,55.6614265441895
Toliara,-23.4277629852295,43.6712493896484
Complexe Mikea S,-23.0495567321777,43.5075912475586
Complexe Mikea N,-22.4930915832519,43.2599983215332
Morombe,-21.9015083312988,43.2493438720703
Mangoky Delta and nearby islands,-21.1533050537109,43.695858001709
Maharivo Delta and nearby islands,-20.7375869750977,43.9131813049316
Melaky S islands,-18.3464431762695,43.895622253418
Melaky C islands,-17.4171237945557,43.695556640625
Melaky N islands,-16.4014301300049,44.2472724914551
Parc National de la Baie de Baly,-15.9803733825684,45.2304000854492
Mahajanga Delta,-15.7201557159424,46.0824394226074
Helodrano Mahajambe,-15.217565536499,46.9476013183594
Helodrano Mahajambe N,-14.8853015899658,47.2458038330078
Analalava,-14.5110235214233,47.6083602905273
Southern Barrier Reef S,-14.0724840164185,47.8452568054199
Southern Barrier Reef N,-13.6668510437012,47.9468269348145
Nosy Be,-13.3650178909302,48.3329277038574
Nosy Mitsio,-12.8991441726685,48.5922393798828
Zélée Bank,-12.3301382064819,46.5279998779297
Nosy Valiha,-12.4529800415039,48.8000030517578
Nosy Hara Reserve,-12.2066173553467,49.0082168579102
Cape Amber,-12.136830329895,49.3329200744629
Ambolobozokely,-12.5545778274536,49.6011772155762
Nosy Ankao,-12.9221792221069,49.8547515869141
Antalaha,-15.2146463394165,50.4162864685059
Parc National de Masoala,-15.8320055007935,50.1515731811523
Mananara Avaratra,-16.434591293335,49.8285675048828
Nosy Boraha,-16.9797611236572,49.8976821899414
Toamasina,-17.8282833099365,49.4914970397949
Brickaville,-19.5032234191895,48.9314270019531
Manakara,-22.148307800293,48.0333366394043
Europa Island,-22.3483390808105,40.3600044250488
Bassas da India,-21.4802646636963,39.6782836914062
Juan de Nova Island,-17.0510330200195,42.7200012207031
Glorioso Islands,-11.5232629776001,47.3514213562012
Tromelin Island,-15.8888444900513,54.523998260498
Mayotte S,-12.9576416015625,45.0874557495117
Mayotte E,-12.7748775482178,45.2376098632813
Mayotte NW,-12.6648578643799,45.0275268554688
Réunion,-21.1952304840088,55.3328971862793
Nzwani,-12.2110795974731,44.3950691223145
Mwali,-12.3534717559815,43.7444458007812
Ngazidja SE,-11.8554544448853,43.480770111084
Ngazidja SW,-11.7678985595703,43.1964302062988
Ngazidja N,-11.4803686141968,43.3432579040527
Guiducua,-23.2713375091553,35.5
Vilanculos,-22.1993980407715,35.5400047302246
Parque Nacional do Bazaruto,-21.5686664581299,35.4079971313477
Primeiras Islands,-17.1755275726318,38.9851455688477
Segundas Islands,-16.6024227142334,39.7773284912109
Reefs north of the Segundas Islands S,-16.121395111084,40.2094993591309
Reefs north of the Segundas Islands N,-15.6568231582642,40.4669227600098
Mozambique Island,-15.112099647522,40.7169227600098
Nacala,-14.5524778366089,40.7920761108398
Memba S,-14.152045249939,40.6751899719238
Memba N,-13.660737991333,40.5924110412598
Pemba,-13.0807933807373,40.5843467712402
