name,Lon,Lat
U/N Reef (11-306),144.01565552,-11.30299282
U/N Reef (11-307),144.01635742,-11.3319273
U/N Reef (11-308),144.01760864,-11.28602219
U/N Reef (11-309),144.01947021,-11.3102417
Great Detached Reef (No 7) (11-244g),144.02200317,-11.77238941
Great Detached Reef (No 8) (11-244h),144.02709961,-11.7682209
U/N Reef (11-312),144.04360962,-11.29255295
U/N Reef (11-313),144.05271912,-11.27426243
U/N Reef (11-314),144.06343079,-11.09085655
U/N Reef (11-315),143.2620697,-11.05757904
U/N Reef (11-316),143.53959656,-11.0134201
U/N Reef (11-317),143.66897583,-11.04191494
U/N Reef (11-318),143.68516541,-11.03679371
U/N Reef (11-319),143.69241333,-11.00459862
U/N Reef (11-320),143.7099762,-11.01724529
U/N Reef (11-321),143.75195313,-11.0630846
U/N Reef (11-322),143.79893494,-11.05340862
U/N Reef (11-323),143.80924988,-11.07327938
U/N Reef (11-324),144.0606842,-11.07956886
Haggerston Reef (12-001),143.30062866,-12.02940845
Bannan Reef (12-002),143.2943573,-12.0694294
Mason Reef (12-003a),143.47735596,-12.10138035
U/N Reef (12-003b),143.35162354,-12.11358452
U/N Reef (12-003c),143.44680786,-12.15334797
U/N Reef (12-003d),143.58761597,-12.18626881
Moody Reef (12-004),143.26463318,-12.09915161
Young Reef (12-005),143.21852112,-12.12665844
Laurel Reef (12-006),143.27642822,-12.13950443
Fison Reefs (12-027c),143.54585266,-12.37409687
U/N Reef (12-028),143.90751648,-11.9950552
U/N Reef (12-029),143.91061401,-11.99639893
U/N Reef (12-030),143.6791687,-12.11102962
U/N Reef (12-031),143.92311096,-12.00428104
U/N Reef (12-032),143.95555115,-12.02207088
U/N Reef (12-033),143.84797668,-12.03384209
U/N Reef (12-034),143.87185669,-12.03843594
U/N Reef (12-035),143.89657593,-12.04671574
U/N Reef (12-036),143.83262634,-12.04166603
Wishbone Reef (12-037),143.96459961,-12.065135
U/N Reef (12-038a),143.90919495,-12.05406475
U/N Reef (12-038b),143.93292236,-12.05772018
U/N Reef (12-039),143.81755066,-12.0514822
U/N Reef (12-040),143.81138611,-12.07230663
U/N Reef (12-041),143.54904175,-12.05761147
U/N Reef (12-042),143.80371094,-12.09514523
Martha Ridgway Reef (North) (12-043a),143.8079834,-12.12002373
Martha Ridgway Reef (South) (12-043b),143.81086731,-12.14468956
Piper Reef (12-012),143.23829651,-12.25040245
Inset Reef (12-013),143.27497864,-12.24727631
Hazel Reef (12-014),143.29975891,-12.27168751
Ada Reef (12-015),143.12567139,-12.28651428
Gallon Reef (12-016a),143.43336487,-12.31373787
Forbes Islands Reef (12-016b),143.40895081,-12.29255772
U/N Reef (12-016c),143.51319885,-12.24527168
Lion Reef (12-017),143.18287659,-12.30539131
Daniell Reef (12-018),143.19723511,-12.3118763
North Pint Patch (12-019),143.34402466,-12.33054447
South Pint Patch (12-020),143.35838318,-12.35092163
Andrew Reef (12-021),143.24212646,-12.35507584
Kangaroo Shoals (12-023),143.27355957,-12.38898468
U/N Reef (12-024),143.48176575,-12.38488674
U/N Reef (12-025),143.2840271,-12.43306541
Kemp Rocks Reef (12-026),143.36100769,-12.43950653
Quoin Reef (12-027),143.49861145,-12.4230938
Eel Reef (12-027a),143.47608948,-12.473526
Dolphin Reef (12-096),143.52960205,-12.55867386
U/N Reef (12-097),143.78552246,-12.57677174
Second Small Reef (12-098),143.79449463,-12.58212376
Southern Small Detached Reef (12-099),143.86631775,-12.58349609
U/N Reef (12-100),143.71421814,-12.61429596
U/N Reef (12-101),143.81077576,-12.59930325
U/N Reef (12-044),143.78450012,-12.17187595
U/N Reef (12-045),143.78967285,-12.15825176
U/N Reef (12-046),143.80516052,-12.17167664
U/N Reef (12-047),143.79078674,-12.19427586
U/N Reef (12-048),143.78059387,-12.19409657
