Name,Lat,Lon
Reef 094,23.54106739,-74.80225628
Reef 095,23.44220405,-78.3416185
Reef 096,23.73857106,-79.74299034
Reef 097,23.40923313,-76.34735857
Reef 098,23.47516673,-75.93413354
Reef 099,23.34326667,-88.72614318
Reef 100,23.31027114,-78.88060767
Reef 101,23.31027114,-76.25752704
Reef 102,23.27726742,-76.07786398
Reef 103,23.24425552,-77.87449455
Reef 104,23.21123544,-75.86226832
Reef 105,23.17820721,-75.28734653
Reef 106,23.11212628,-78.52128156
Reef 107,23.21123544,-78.3416185
Reef 108,23.24425552,-77.51516844
Reef 109,23.0129439,-80.2280806
Reef 110,22.97986688,-77.87449455
Reef 111,22.97986688,-77.58703366
Reef 112,23.0129439,-77.26364016
Reef 113,23.14517082,-80.89283391
Reef 114,23.0129439,-78.46738264
Reef 115,22.91368854,-78.16195544
Reef 116,22.91368854,-78.018225
Reef 117,23.04601282,-75.37612122
Reef 118,22.94678175,-73.61648011
Reef 119,23.0129439,-81.88098072
Reef 120,22.84747788,-79.90468709
Reef 121,22.84747788,-77.58703366
Reef 122,23.0129439,-76.22159443
Reef 123,22.78123496,-79.72502404
Reef 124,23.44220405,-75.28734653
Reef 125,22.64865266,-88.40274968
Reef 126,22.64865266,-79.50942837
Reef 127,22.74810143,-83.62371237
Reef 128,22.58231343,-76.72465099
Reef 129,22.44953914,-74.35309864
Reef 130,22.48274467,-73.5985138
Reef 131,22.5512059,-76.09583029
Reef 132,22.61548704,-74.10157036
Reef 133,22.34987489,-89.69632369
Reef 134,22.21687831,-88.58241274
Reef 135,22.34987489,-78.09009022
Reef 136,22.21687831,-77.31753908
Reef 137,22.28339241,-72.91579418
Reef 138,22.05045517,-91.13362815
Reef 139,22.21687831,-76.63481946
Reef 140,21.98383095,-91.42108904
Reef 141,22.18360942,-74.01173883
Reef 142,21.85048874,-89.51666063
Reef 143,21.85048874,-88.58241274
Reef 144,21.85048874,-83.58777976
Reef 145,21.78377088,-89.58852586
Reef 146,21.78377088,-89.30106497
Reef 147,22.34987489,-84.37829721
Reef 148,21.95050711,-75.39514437
Reef 149,21.71702197,-92.06787604
Reef 150,21.8171337,-80.31791212
Reef 151,21.65024207,-91.96007821
Reef 152,21.78377088,-84.21660046
Reef 153,21.88383599,-81.23419371
Reef 154,21.61684052,-75.71853787
Reef 155,21.58343125,-81.68335136
Reef 156,21.65024207,-77.37143799
Reef 157,21.55001428,-73.81410947
Reef 158,21.44971721,-88.29495185
Reef 159,21.38281412,-88.79800841
Reef 160,21.55001428,-81.21622741
Reef 161,21.85048874,-71.98154629
Reef 162,21.38281412,-71.6940854
Reef 163,21.38281412,-97.24217208
Reef 164,21.31588044,-90.52277375
Reef 165,21.31588044,-90.30717808
Reef 166,21.31588044,-83.06675689
Reef 167,21.3493511,-82.22234053
Reef 168,21.36369333,-72.98765941
Reef 169,21.38281412,-71.51442234
Reef 170,21.18192157,-90.16344764
Reef 171,21.48315725,-77.0839771
Reef 172,21.24891623,-72.03287859
Reef 173,21.28240215,-71.17306253
Reef 174,21.18192157,-71.62222017
Reef 175,21.04784123,-91.78041515
Reef 176,21.51658961,-79.9226534
Reef 177,21.08137267,-71.26289406
Reef 178,21.01430224,-97.27810469
Reef 179,21.38281412,-86.83968109
Reef 180,21.14841285,-76.4371901
Reef 181,20.91364003,-97.20623947
Reef 182,21.10796119,-79.32914578
Reef 183,20.9807557,-75.86226832
Reef 184,20.84649431,-92.31940432
Reef 185,20.77931861,-92.2475391
Reef 186,20.77931861,-73.34698552
Reef 187,20.8129102,-86.82171478
Reef 188,21.14841285,-78.88060767
Reef 189,20.67849902,-78.55721417
Reef 190,20.57761243,-77.37143799
Reef 191,20.77931861,-75.57480742
Reef 192,20.51031762,-90.81023464
Reef 193,20.72471633,-79.00637181
Reef 194,20.51031762,-77.44330322
Reef 195,20.51031762,-78.62907939
Reef 196,20.51031762,-77.87449455
Reef 197,20.44299322,-77.37143799
Reef 198,20.37563932,-91.85228037
Reef 199,20.37563932,-87.21697351
Reef 200,20.34195133,-92.21160649
Reef 201,20.54396873,-74.89208781
Reef 202,20.51031762,-78.16195544
Reef 203,20.24084334,-74.49682908
Reef 204,20.24084334,-78.23382067
Reef 205,20.24084334,-77.15584232
Reef 206,20.10593032,-87.39663656
Reef 207,20.20712603,-86.94747892
Reef 208,20.07218385,-91.96007821
Reef 209,20.03843012,-77.42533691
Reef 210,19.97090091,-74.35309864
Reef 211,20.17202475,-77.66183216
Reef 212,19.84058436,-76.15486244
Reef 213,19.76813999,-75.41311067
Reef 214,19.85265521,-72.88242819
Reef 215,19.80195146,-77.83856194
Reef 216,19.76813999,-77.1220234
Reef 217,19.74559501,-71.80188323
Reef 218,19.80195146,-71.53238865
Reef 219,19.93712545,-87.5044344
Reef 220,19.66666256,-72.19714196
Reef 221,19.80195146,-71.01136578
Reef 222,19.56512085,-79.9226534
Reef 223,19.53125939,-70.20288203
Reef 224,19.46351516,-87.39663656
Reef 225,19.49739082,-73.32901921
Reef 226,19.39574261,-96.34385679
Reef 227,19.22618789,-81.32402524
Reef 228,19.56512085,-69.95135375
Reef 229,18.98851729,-95.98453068
